access point, 無線網路存取器；無線基地台
access time, 存取時間
accounting information system, 會計資訊系統
Acer, 宏碁（一種知名電腦品牌）
act, 法案
administrator, 管理員；監督人；行政官
ADSL, 非對稱數位用戶迴路（英文簡稱）
adware, 廣告軟體
agent, 代理人；代理商；特工人員
AI, 人工智慧（英文簡稱）
algorithm, 演算法
all rights reserved, 版權所有；保留所有版權
ALU, 算術邏輯單元（英文簡稱）
analog, 類比；類似物
analysis, 分析
Android, 安卓（一種手機作業系統）
ANSI, 美國國家標準協會（英文簡稱）
antivirus, 防毒
antivirus software, 防毒軟體
Apple, 蘋果
architecture, 架構
array, 陣列
ASCII, 美國資訊交換標準碼（英文簡稱）
ASP, 應用服務供應商（縮寫）
asset, 資產
ASUS, 華碩（一種知名電腦品牌）
auction, 拍賣
audio, 音訊
audit, 審核；審計；查帳
authority, 權威；權力（機構）；官方（機構）
autocomplete, 自動完成
autoformat, 自動套用格式；格式自動設定
autosum, 自動加總
B G, 企業對政府之間的相互交易（英文簡稱）
back color, 背景顏色
back up data, 備份資料
backbone, 骨幹網路
bandwidth, 頻寬
base, 基底
baseband transmmission, 基頻傳輸
batch processing, 批次處理
battery, 電池
BBS, 電子佈告欄系統（英文簡稱）
benefit, 效益
biometrics, 生物測定學；生物計量學
BIOS, 基本輸入輸出系統（英文簡稱）
bit, 位元
bitmap, 點陣圖
blog, 部落格
bluetooth, 藍芽（牙）
bps, 每秒的位元數（英文簡稱）
bridge, 橋接器
broadband, 寬頻；寬頻帶；寬帶；多頻率的
broadband transmission, 寬頻傳輸
broadcast, 廣播
broker, 仲介商；經紀人
browser, 瀏覽器
buffer, 緩衝器
bug, 瑕疵；臭蟲；（程式）錯誤
bulletin board system, 電子佈告欄系統
business, 企業或商務
business intelligence, 商業智慧（BI）
business model, 商業模式
business process and operation, 企業流程與營運
byte, 位元組
C C, 個人（消費者）對個人（消費者）之間的相互交易（英文簡稱）
CA, 認證機構（英文簡稱）；憑證授權
cache, 快取
cache memory, 快取記憶體
